split,label,length_nt,n
test,0,50,98
test,0,51,46
test,0,52,76
test,0,53,79
test,0,54,84
test,0,55,44
test,0,56,62
test,0,57,31
test,0,58,55
test,0,59,51
test,0,60,51
test,0,61,48
test,0,62,35
test,0,63,39
test,0,64,33
test,0,65,27
test,1,50,29
test,1,51,63
test,1,52,35
test,1,53,38
test,1,54,31
test,1,55,53
test,1,56,43
test,1,57,76
test,1,58,38
test,1,59,48
test,1,60,41
test,1,61,51
test,1,62,83
test,1,63,43
test,1,64,83
test,1,65,102
train,0,50,458
train,0,51,214
train,0,52,356
train,0,53,368
train,0,54,390
train,0,55,204
train,0,56,286
train,0,57,142
train,0,58,259
train,0,59,239
train,0,60,241
train,0,61,221
train,0,62,162
train,0,63,186
train,0,64,151
train,0,65,126
train,1,50,137
train,1,51,298
train,1,52,165
train,1,53,174
train,1,54,144
train,1,55,246
train,1,56,204
train,1,57,353
train,1,58,179
train,1,59,221
train,1,60,190
train,1,61,239
train,1,62,389
train,1,63,203
train,1,64,388
train,1,65,473
validation,0,50,98
validation,0,51,45
validation,0,52,76
validation,0,53,79
validation,0,54,83
validation,0,55,44
validation,0,56,61
validation,0,57,30
validation,0,58,56
validation,0,59,52
validation,0,60,52
validation,0,61,47
validation,0,62,35
validation,0,63,40
validation,0,64,32
validation,0,65,27
validation,1,50,29
validation,1,51,64
validation,1,52,36
validation,1,53,37
validation,1,54,31
validation,1,55,53
validation,1,56,44
validation,1,57,75
validation,1,58,39
validation,1,59,47
validation,1,60,41
validation,1,61,51
validation,1,62,84
validation,1,63,44
validation,1,64,83
validation,1,65,101
