split,source_run,label,n
test,0,0,150
test,0,1,156
test,1,0,147
test,1,1,144
test,2,0,153
test,2,1,137
test,3,0,118
test,3,1,150
test,4,0,137
test,4,1,141
test,5,0,154
test,5,1,129
train,0,0,684
train,0,1,702
train,1,0,711
train,1,1,629
train,2,0,701
train,2,1,685
train,3,0,597
train,3,1,623
train,4,0,657
train,4,1,692
train,5,0,653
train,5,1,672
validation,0,0,148
validation,0,1,158
validation,1,0,139
validation,1,1,151
validation,2,0,150
validation,2,1,131
validation,3,0,147
validation,3,1,128
validation,4,0,127
validation,4,1,143
validation,5,0,146
validation,5,1,148
