system	metric	n	mean	SD
APT3	DNA_RMSD	3	1.143226	0.514147
APT3	DNA_Rg	3	2.379285	0.302390
APT3	mindist	3	0.243982	0.005053
APT3	contact_fraction	3	1.000000	0.000000
APT3	contact_count	3	52.574952	8.787793
APT3	Hbond	3	0.042458	0.047065
APT3	Hbond_fraction	3	0.039925	0.042999
APT3	LIG_RMSD	3	1.904407	1.531512
APT3	DNA_RMSF	3	0.732201	0.342864
APT4	DNA_RMSD	3	0.986917	0.133181
APT4	DNA_Rg	3	2.363677	0.085000
APT4	mindist	3	0.247774	0.002456
APT4	contact_fraction	3	1.000000	0.000000
APT4	contact_count	3	58.410318	2.490218
APT4	Hbond	3	0.050390	0.074631
APT4	Hbond_fraction	3	0.047657	0.069909
APT4	LIG_RMSD	3	0.713452	0.223729
APT4	DNA_RMSF	3	0.619649	0.063670
